Time,DateTimeValue,Temp,TempSP,Comp1,Comp2,RevValve,Fan,Occupancy,Scheduled
13/06/2016 2:56:00 PM,42534.62222,23.6,23,Off,Off,Off,On ,30,TRUE
13/06/2016 2:41:00 PM,42534.61181,23.2,23,On ,Off,Off,On ,30,TRUE
13/06/2016 2:26:00 PM,42534.60139,23.4,23,On ,Off,Off,On ,30,TRUE
13/06/2016 2:11:00 PM,42534.59097,23.2,23,On ,Off,Off,On ,30,TRUE
13/06/2016 1:56:00 PM,42534.58056,23.6,23,On ,Off,Off,On ,30,TRUE
13/06/2016 1:41:00 PM,42534.57014,23.3,23,On ,Off,Off,On ,30,TRUE
13/06/2016 1:26:00 PM,42534.55972,23.4,23,On ,Off,Off,On ,30,TRUE
13/06/2016 1:11:00 PM,42534.54931,23.5,23,On ,Off,Off,On ,30,TRUE
13/06/2016 12:56:00 PM,42534.53889,23.7,23,Off,Off,Off,On ,32,TRUE
13/06/2016 12:41:00 PM,42534.52847,23.3,23,On ,Off,Off,On ,32,TRUE
13/06/2016 12:26:00 PM,42534.51806,23.5,23,On ,Off,Off,On ,32,TRUE
13/06/2016 12:11:00 PM,42534.50764,23.8,23,Off,Off,Off,On ,32,TRUE
13/06/2016 11:56:00 AM,42534.49722,23.6,23,Off,Off,Off,On ,32,TRUE
13/06/2016 11:41:00 AM,42534.48681,23.4,23,Off,Off,Off,On ,32,TRUE
13/06/2016 11:26:00 AM,42534.47639,23.2,23,Off,Off,Off,On ,32,TRUE
13/06/2016 11:11:00 AM,42534.46597,23,23,Off,Off,Off,On ,32,TRUE
13/06/2016 10:56:00 AM,42534.45556,22.8,23,Off,Off,Off,On ,0,FALSE
13/06/2016 10:41:00 AM,42534.44514,22.8,23,Off,Off,Off,On ,0,FALSE
13/06/2016 10:26:00 AM,42534.43472,22.7,23,Off,Off,Off,On ,32,TRUE
13/06/2016 10:11:00 AM,42534.42431,22.5,23,Off,Off,Off,On ,32,TRUE
13/06/2016 9:56:00 AM,42534.41389,22.4,23,Off,Off,Off,On ,32,TRUE
13/06/2016 9:41:00 AM,42534.40347,22.4,23,On ,Off,Off,On ,32,TRUE
13/06/2016 9:26:00 AM,42534.39306,23,23,On ,On ,On ,On ,32,TRUE
13/06/2016 9:11:00 AM,42534.38264,22.5,23,On ,On ,On ,On ,32,TRUE
13/06/2016 8:56:00 AM,42534.37222,20.6,23,On ,Off,On ,On ,32,TRUE
13/06/2016 8:41:00 AM,42534.36181,20.3,23,Off,Off,Off,Off,32,TRUE
13/06/2016 8:26:00 AM,42534.35139,20.1,23,Off,Off,Off,Off,0,FALSE
13/06/2016 8:11:00 AM,42534.34097,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 7:56:00 AM,42534.33056,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 7:41:00 AM,42534.32014,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 7:26:00 AM,42534.30972,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 7:11:00 AM,42534.29931,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 6:56:00 AM,42534.28889,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 6:41:00 AM,42534.27847,20.3,23,Off,Off,Off,Off,0,FALSE
13/06/2016 6:26:00 AM,42534.26806,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 6:11:00 AM,42534.25764,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 5:56:00 AM,42534.24722,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 5:41:00 AM,42534.23681,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 5:26:00 AM,42534.22639,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 5:11:00 AM,42534.21597,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 4:56:00 AM,42534.20556,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 4:41:00 AM,42534.19514,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 4:26:00 AM,42534.18472,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 4:11:00 AM,42534.17431,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 3:56:00 AM,42534.16389,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 3:41:00 AM,42534.15347,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 3:26:00 AM,42534.14306,20.2,23,Off,Off,Off,Off,0,FALSE
13/06/2016 3:11:00 AM,42534.13264,20.3,23,Off,Off,Off,Off,0,FALSE
13/06/2016 2:56:00 AM,42534.12222,20.3,23,Off,Off,Off,Off,0,FALSE
13/06/2016 2:41:00 AM,42534.11181,20.3,23,Off,Off,Off,Off,0,FALSE
13/06/2016 2:26:00 AM,42534.10139,20.3,23,Off,Off,Off,Off,0,FALSE
13/06/2016 2:11:00 AM,42534.09097,20.4,23,Off,Off,Off,Off,0,FALSE
13/06/2016 1:56:00 AM,42534.08056,20.4,23,Off,Off,Off,Off,0,FALSE
13/06/2016 1:41:00 AM,42534.07014,20.4,23,Off,Off,Off,Off,0,FALSE
13/06/2016 1:26:00 AM,42534.05972,20.4,23,Off,Off,Off,Off,0,FALSE
13/06/2016 1:11:00 AM,42534.04931,20.5,23,Off,Off,Off,Off,0,FALSE
13/06/2016 12:56:00 AM,42534.03889,20.5,23,Off,Off,Off,Off,0,FALSE
13/06/2016 12:41:00 AM,42534.02847,20.6,23,Off,Off,Off,Off,0,FALSE
13/06/2016 12:26:00 AM,42534.01806,20.6,23,Off,Off,Off,Off,0,FALSE
13/06/2016 12:11:00 AM,42534.00764,20.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:56:00 PM,42533.99722,20.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:41:00 PM,42533.98681,20.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:26:00 PM,42533.97639,20.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:11:00 PM,42533.96597,20.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:56:00 PM,42533.95556,20.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:41:00 PM,42533.94514,21,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:26:00 PM,42533.93472,21.1,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:11:00 PM,42533.92431,21.1,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:56:00 PM,42533.91389,21.2,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:41:00 PM,42533.90347,21.2,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:26:00 PM,42533.89306,21.3,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:11:00 PM,42533.88264,21.3,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:56:00 PM,42533.87222,21.3,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:41:00 PM,42533.86181,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:26:00 PM,42533.85139,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:11:00 PM,42533.84097,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 7:56:00 PM,42533.83056,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 7:41:00 PM,42533.82014,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 7:26:00 PM,42533.80972,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 7:11:00 PM,42533.79931,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:56:00 PM,42533.78889,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:41:00 PM,42533.77847,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:26:00 PM,42533.76806,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 6:11:00 PM,42533.75764,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:56:00 PM,42533.74722,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:41:00 PM,42533.73681,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:26:00 PM,42533.72639,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 5:11:00 PM,42533.71597,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:56:00 PM,42533.70556,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:41:00 PM,42533.69514,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:26:00 PM,42533.68472,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 4:11:00 PM,42533.67431,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:56:00 PM,42533.66389,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:41:00 PM,42533.65347,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:26:00 PM,42533.64306,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 3:11:00 PM,42533.63264,22.1,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:56:00 PM,42533.62222,22.1,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:41:00 PM,42533.61181,22.1,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:26:00 PM,42533.60139,22.1,23,Off,Off,Off,Off,0,FALSE
12/06/2016 2:11:00 PM,42533.59097,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:56:00 PM,42533.58056,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:41:00 PM,42533.57014,22,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:26:00 PM,42533.55972,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 1:11:00 PM,42533.54931,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:56:00 PM,42533.53889,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:41:00 PM,42533.52847,21.9,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:26:00 PM,42533.51806,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 12:11:00 PM,42533.50764,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:56:00 AM,42533.49722,21.8,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:41:00 AM,42533.48681,21.7,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:26:00 AM,42533.47639,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 11:11:00 AM,42533.46597,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:56:00 AM,42533.45556,21.6,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:41:00 AM,42533.44514,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:26:00 AM,42533.43472,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 10:11:00 AM,42533.42431,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:56:00 AM,42533.41389,21.5,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:41:00 AM,42533.40347,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:26:00 AM,42533.39306,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 9:11:00 AM,42533.38264,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:56:00 AM,42533.37222,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:41:00 AM,42533.36181,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:26:00 AM,42533.35139,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 8:11:00 AM,42533.34097,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 7:56:00 AM,42533.33056,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 7:41:00 AM,42533.32014,21.4,23,Off,Off,Off,Off,0,FALSE
12/06/2016 7:26:00 AM,42533.30972,21.4,23,Off,Off,Off,Off,0,FALSE
